"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","STINT","TOT","PC_PA","A","1980",13.12896,
"CAN","STINT","TOT","PC_PA","A","1981",18.37563,
"CAN","STINT","TOT","PC_PA","A","1982",14.37521,
"CAN","STINT","TOT","PC_PA","A","1983",9.465834,
"CAN","STINT","TOT","PC_PA","A","1984",11.22208,
"CAN","STINT","TOT","PC_PA","A","1985",9.596042,
"CAN","STINT","TOT","PC_PA","A","1986",9.187917,
"CAN","STINT","TOT","PC_PA","A","1987",8.409583,
"CAN","STINT","TOT","PC_PA","A","1988",9.61,
"CAN","STINT","TOT","PC_PA","A","1989",12.17675,
"CAN","STINT","TOT","PC_PA","A","1990",13.02129,
"CAN","STINT","TOT","PC_PA","A","1991",9.110209,
"CAN","STINT","TOT","PC_PA","A","1992",6.677083,
"CAN","STINT","TOT","PC_PA","A","1993",5.102958,
"CAN","STINT","TOT","PC_PA","A","1994",5.487709,
"CAN","STINT","TOT","PC_PA","A","1995",7.130799,
"CAN","STINT","TOT","PC_PA","A","1996",4.449064,
"CAN","STINT","TOT","PC_PA","A","1997",3.557645,
"CAN","STINT","TOT","PC_PA","A","1998",5.068404,
"CAN","STINT","TOT","PC_PA","A","1999",4.915108,
"CAN","STINT","TOT","PC_PA","A","2000",5.698482,
"CAN","STINT","TOT","PC_PA","A","2001",4.003615,
"CAN","STINT","TOT","PC_PA","A","2002",2.623688,
"CAN","STINT","TOT","PC_PA","A","2003",2.964421,
"CAN","STINT","TOT","PC_PA","A","2004",2.311883,
"CAN","STINT","TOT","PC_PA","A","2005",2.806772,
"CAN","STINT","TOT","PC_PA","A","2006",4.177135,
"CAN","STINT","TOT","PC_PA","A","2007",4.625115,
"CAN","STINT","TOT","PC_PA","A","2008",3.340618,
"CAN","STINT","TOT","PC_PA","A","2009",0.6938224,
"CAN","STINT","TOT","PC_PA","A","2010",0.7758598,
"CAN","STINT","TOT","PC_PA","A","2011",1.169322,
"CAN","STINT","TOT","PC_PA","A","2012",1.159862,
"CAN","STINT","TOT","PC_PA","A","2013",1.164424,
"CAN","STINT","TOT","PC_PA","A","2014",1.172978,
"CAN","STINT","TOT","PC_PA","A","2015",0.822647,
"CAN","STINT","TOT","PC_PA","A","2016",0.8163781,
"CAN","STINT","TOT","PC_PA","A","2017",1.061357,
